NAMESPACE                 LAST SEEN   TYPE      REASON                    OBJECT                                                             MESSAGE
kube-system               8m35s       Normal    Scheduled                 pod/coredns-7d764666f9-7wvvg                                       Successfully assigned kube-system/coredns-7d764666f9-7wvvg to greenops-control-plane
kube-system               8m35s       Normal    Pulled                    pod/coredns-7d764666f9-7wvvg                                       Container image "registry.k8s.io/coredns/coredns:v1.13.1" already present on machine and can be accessed by the pod
kube-system               8m35s       Normal    Scheduled                 pod/coredns-7d764666f9-sq257                                       Successfully assigned kube-system/coredns-7d764666f9-sq257 to greenops-control-plane
kube-system               8m33s       Normal    Created                   pod/coredns-7d764666f9-sq257                                       Container created
kube-system               8m33s       Normal    Created                   pod/coredns-7d764666f9-7wvvg                                       Container created
kube-system               8m32s       Normal    Started                   pod/coredns-7d764666f9-sq257                                       Container started
kube-system               8m32s       Normal    Started                   pod/coredns-7d764666f9-7wvvg                                       Container started
local-path-storage        8m30s       Normal    Started                   pod/local-path-provisioner-67b8995b4b-4dbk7                        Container started
local-path-storage        8m30s       Normal    Created                   pod/local-path-provisioner-67b8995b4b-4dbk7                        Container created
greenops-system           6m58s       Normal    SuccessfulCreate          replicaset/greenops-ai-sovereign-finops-operator-f6b676fb4         Created pod: greenops-ai-sovereign-finops-operator-f6b676fb4-7btxk
greenops-system           6m58s       Normal    ScalingReplicaSet         deployment/greenops-ai-sovereign-finops-operator                   Scaled up replica set greenops-ai-sovereign-finops-operator-f6b676fb4 from 0 to 1
greenops-system           6m58s       Normal    Scheduled                 pod/greenops-ai-sovereign-finops-operator-f6b676fb4-7btxk          Successfully assigned greenops-system/greenops-ai-sovereign-finops-operator-f6b676fb4-7btxk to greenops-control-plane
greenops-system           6m57s       Normal    Pulled                    pod/greenops-ai-sovereign-finops-operator-f6b676fb4-7btxk          Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.5.2" already present on machine and can be accessed by the pod
greenops-system           6m57s       Normal    Started                   pod/greenops-ai-sovereign-finops-operator-f6b676fb4-7btxk          Container started
greenops-system           6m57s       Normal    Created                   pod/greenops-ai-sovereign-finops-operator-f6b676fb4-7btxk          Container created
envoy-gateway-system      6m32s       Normal    Pulling                   pod/eg-gateway-helm-certgen-wnvcg                                  Pulling image "docker.io/envoyproxy/gateway:v1.5.0"
envoy-gateway-system      6m32s       Normal    Scheduled                 pod/eg-gateway-helm-certgen-wnvcg                                  Successfully assigned envoy-gateway-system/eg-gateway-helm-certgen-wnvcg to greenops-control-plane
envoy-gateway-system      6m32s       Normal    SuccessfulCreate          job/eg-gateway-helm-certgen                                        Created pod: eg-gateway-helm-certgen-wnvcg
envoy-gateway-system      6m20s       Normal    Created                   pod/eg-gateway-helm-certgen-wnvcg                                  Container created
envoy-gateway-system      6m20s       Normal    Pulled                    pod/eg-gateway-helm-certgen-wnvcg                                  Successfully pulled image "docker.io/envoyproxy/gateway:v1.5.0" in 11.405s (11.405s including waiting). Image size: 74229543 bytes.
envoy-gateway-system      6m20s       Normal    Started                   pod/eg-gateway-helm-certgen-wnvcg                                  Container started
envoy-gateway-system      6m14s       Normal    SuccessfulCreate          replicaset/envoy-gateway-6b9486fbbc                                Created pod: envoy-gateway-6b9486fbbc-rrrsx
envoy-gateway-system      6m14s       Normal    ScalingReplicaSet         deployment/envoy-gateway                                           Scaled up replica set envoy-gateway-6b9486fbbc from 0 to 1
envoy-gateway-system      6m14s       Normal    Completed                 job/eg-gateway-helm-certgen                                        Job completed
envoy-gateway-system      6m14s       Normal    Scheduled                 pod/envoy-gateway-6b9486fbbc-rrrsx                                 Successfully assigned envoy-gateway-system/envoy-gateway-6b9486fbbc-rrrsx to greenops-control-plane
envoy-gateway-system      6m13s       Normal    Pulled                    pod/envoy-gateway-6b9486fbbc-rrrsx                                 Container image "docker.io/envoyproxy/gateway:v1.5.0" already present on machine and can be accessed by the pod
envoy-gateway-system      6m13s       Normal    Created                   pod/envoy-gateway-6b9486fbbc-rrrsx                                 Container created
envoy-gateway-system      6m13s       Normal    Started                   pod/envoy-gateway-6b9486fbbc-rrrsx                                 Container started
envoy-gateway-system      6m12s       Normal    LeaderElection            lease/5b9825d2.gateway.envoyproxy.io                               envoy-gateway-6b9486fbbc-rrrsx_8644950a-0170-4976-8350-202b11c0c406 became leader
envoy-ai-gateway-system   5m53s       Normal    Pulling                   pod/ai-gateway-controller-897c74ddb-bvlqx                          Pulling image "docker.io/envoyproxy/ai-gateway-controller:v0.7.0"
envoy-ai-gateway-system   5m53s       Normal    Scheduled                 pod/ai-gateway-controller-897c74ddb-bvlqx                          Successfully assigned envoy-ai-gateway-system/ai-gateway-controller-897c74ddb-bvlqx to greenops-control-plane
envoy-ai-gateway-system   5m53s       Normal    SuccessfulCreate          replicaset/ai-gateway-controller-897c74ddb                         Created pod: ai-gateway-controller-897c74ddb-bvlqx
envoy-ai-gateway-system   5m53s       Normal    ScalingReplicaSet         deployment/ai-gateway-controller                                   Scaled up replica set ai-gateway-controller-897c74ddb from 0 to 1
envoy-ai-gateway-system   5m44s       Normal    Pulled                    pod/ai-gateway-controller-897c74ddb-bvlqx                          Successfully pulled image "docker.io/envoyproxy/ai-gateway-controller:v0.7.0" in 8.218s (8.218s including waiting). Image size: 45438281 bytes.
envoy-ai-gateway-system   5m44s       Normal    Created                   pod/ai-gateway-controller-897c74ddb-bvlqx                          Container created
envoy-ai-gateway-system   5m44s       Normal    Started                   pod/ai-gateway-controller-897c74ddb-bvlqx                          Container started
envoy-ai-gateway-system   5m44s       Normal    LeaderElection            lease/envoy-ai-gateway-controller                                  ai-gateway-controller-897c74ddb-bvlqx_3883be46-cd8c-43e5-ab21-e7f53d88ed98 became leader
envoy-gateway-system      5m38s       Normal    ScalingReplicaSet         deployment/envoy-default-greenops-aigw-dac3126f                    Scaled up replica set envoy-default-greenops-aigw-dac3126f-54f887cbf5 from 0 to 1
envoy-gateway-system      5m38s       Normal    SuccessfulCreate          replicaset/envoy-default-greenops-aigw-dac3126f-54f887cbf5         Created pod: envoy-default-greenops-aigw-dac3126f-54f887cbf5-dzm4d
envoy-gateway-system      5m37s       Normal    Pulling                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-dzm4d          Pulling image "docker.io/envoyproxy/ai-gateway-extproc:v0.7.0"
envoy-gateway-system      5m37s       Normal    Scheduled                 pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-dzm4d          Successfully assigned envoy-gateway-system/envoy-default-greenops-aigw-dac3126f-54f887cbf5-dzm4d to greenops-control-plane
envoy-gateway-system      5m29s       Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-dzm4d          Successfully pulled image "docker.io/envoyproxy/ai-gateway-extproc:v0.7.0" in 7.394s (7.394s including waiting). Image size: 35535143 bytes.
envoy-gateway-system      5m29s       Normal    Pulling                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-dzm4d          Pulling image "docker.io/envoyproxy/envoy:distroless-v1.35.0"
envoy-gateway-system      5m29s       Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-dzm4d          Container started
envoy-gateway-system      5m29s       Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-dzm4d          Container created
envoy-gateway-system      5m21s       Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-dzm4d          Container started
envoy-gateway-system      5m21s       Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-dzm4d          Container created
envoy-gateway-system      5m21s       Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-dzm4d          Container image "docker.io/envoyproxy/gateway:v1.5.0" already present on machine and can be accessed by the pod
envoy-gateway-system      5m21s       Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-dzm4d          Container started
envoy-gateway-system      5m21s       Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-dzm4d          Container created
envoy-gateway-system      5m21s       Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-dzm4d          Successfully pulled image "docker.io/envoyproxy/envoy:distroless-v1.35.0" in 7.043s (7.043s including waiting). Image size: 36688109 bytes.
default                   5m16s       Normal    Reconciled                aigateway/main-gateway                                             Governs 0 namespace(s) via aigw telemetry
rh                        5m15s       Normal    ScalingReplicaSet         deployment/chatbot-rh                                              Scaled up replica set chatbot-rh-689c9d7d97 from 0 to 1
rh                        5m15s       Normal    Scheduled                 pod/chatbot-rh-689c9d7d97-4kcrj                                    Successfully assigned rh/chatbot-rh-689c9d7d97-4kcrj to greenops-control-plane
legal                     5m15s       Normal    Scheduled                 pod/contract-review-795d8c9dbf-sgtzg                               Successfully assigned legal/contract-review-795d8c9dbf-sgtzg to greenops-control-plane
legal                     5m15s       Normal    SuccessfulCreate          replicaset/contract-review-795d8c9dbf                              Created pod: contract-review-795d8c9dbf-sgtzg
legal                     5m15s       Normal    ScalingReplicaSet         deployment/contract-review                                         Scaled up replica set contract-review-795d8c9dbf from 0 to 1
rh                        5m15s       Normal    SuccessfulCreate          replicaset/chatbot-rh-689c9d7d97                                   Created pod: chatbot-rh-689c9d7d97-4kcrj
legal                     5m14s       Normal    Pulling                   pod/contract-review-795d8c9dbf-sgtzg                               Pulling image "curlimages/curl:8.10.1"
rh                        5m13s       Normal    Pulling                   pod/chatbot-rh-689c9d7d97-4kcrj                                    Pulling image "curlimages/curl:8.10.1"
finance                   5m12s       Normal    ScalingReplicaSet         deployment/risk-assistant                                          Scaled up replica set risk-assistant-7bd4478ddd from 0 to 1
finance                   5m12s       Normal    SuccessfulCreate          replicaset/risk-assistant-7bd4478ddd                               Created pod: risk-assistant-7bd4478ddd-ltmvj
finance                   5m12s       Normal    Scheduled                 pod/risk-assistant-7bd4478ddd-ltmvj                                Successfully assigned finance/risk-assistant-7bd4478ddd-ltmvj to greenops-control-plane
finance                   5m12s       Normal    Pulling                   pod/risk-assistant-7bd4478ddd-ltmvj                                Pulling image "curlimages/curl:8.10.1"
marketing                 5m11s       Normal    ScalingReplicaSet         deployment/content-writer                                          Scaled up replica set content-writer-755f88f97b from 0 to 1
marketing                 5m11s       Normal    SuccessfulCreate          replicaset/content-writer-755f88f97b                               Created pod: content-writer-755f88f97b-z5bbr
marketing                 5m11s       Normal    Scheduled                 pod/content-writer-755f88f97b-z5bbr                                Successfully assigned marketing/content-writer-755f88f97b-z5bbr to greenops-control-plane
marketing                 5m10s       Normal    Pulling                   pod/content-writer-755f88f97b-z5bbr                                Pulling image "curlimages/curl:8.10.1"
legal                     5m8s        Normal    Pulled                    pod/contract-review-795d8c9dbf-sgtzg                               Successfully pulled image "curlimages/curl:8.10.1" in 5.816s (5.816s including waiting). Image size: 9414401 bytes.
legal                     5m8s        Normal    Created                   pod/contract-review-795d8c9dbf-sgtzg                               Container created
legal                     5m8s        Normal    Started                   pod/contract-review-795d8c9dbf-sgtzg                               Container started
legal                     5m8s        Normal    Pulled                    pod/contract-review-795d8c9dbf-sgtzg                               Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.5.2" already present on machine and can be accessed by the pod
rh                        5m7s        Normal    Created                   pod/chatbot-rh-689c9d7d97-4kcrj                                    Container created
legal                     5m7s        Normal    Started                   pod/contract-review-795d8c9dbf-sgtzg                               Container started
rh                        5m7s        Normal    Pulled                    pod/chatbot-rh-689c9d7d97-4kcrj                                    Successfully pulled image "curlimages/curl:8.10.1" in 1.255s (6.29s including waiting). Image size: 9414401 bytes.
