NAMESPACE            LAST SEEN   TYPE      REASON                    OBJECT                                                           MESSAGE
kube-system          13m         Warning   FailedScheduling          pod/coredns-7d764666f9-lqg4p                                     0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
local-path-storage   13m         Warning   FailedScheduling          pod/local-path-provisioner-67b8995b4b-dpcz4                      0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system          13m         Normal    Scheduled                 pod/kube-proxy-9njtm                                             Successfully assigned kube-system/kube-proxy-9njtm to article3-performance-control-plane
kube-system          13m         Normal    Pulled                    pod/kube-proxy-9njtm                                             Container image "registry.k8s.io/kube-proxy:v1.35.0" already present on machine and can be accessed by the pod
kube-system          12m         Normal    SuccessfulCreate          daemonset/kube-proxy                                             Created pod: kube-proxy-dzfrp
kube-system          12m         Normal    SuccessfulCreate          daemonset/kube-proxy                                             Created pod: kube-proxy-5vbtx
default              12m         Normal    RegisteredNode            node/article3-performance-worker                                 Node article3-performance-worker event: Registered Node article3-performance-worker in Controller
kube-system          12m         Normal    SuccessfulCreate          daemonset/kube-proxy                                             Created pod: kube-proxy-f8vhr
default              12m         Normal    RegisteredNode            node/article3-performance-worker3                                Node article3-performance-worker3 event: Registered Node article3-performance-worker3 in Controller
default              12m         Normal    RegisteredNode            node/article3-performance-worker2                                Node article3-performance-worker2 event: Registered Node article3-performance-worker2 in Controller
kube-system          12m         Normal    Scheduled                 pod/kube-proxy-5vbtx                                             Successfully assigned kube-system/kube-proxy-5vbtx to article3-performance-worker2
kube-system          12m         Normal    Scheduled                 pod/kube-proxy-dzfrp                                             Successfully assigned kube-system/kube-proxy-dzfrp to article3-performance-worker3
kube-system          12m         Normal    Scheduled                 pod/kube-proxy-f8vhr                                             Successfully assigned kube-system/kube-proxy-f8vhr to article3-performance-worker
kube-system          12m         Normal    Created                   pod/kube-proxy-9njtm                                             Container created
kube-system          12m         Normal    Pulled                    pod/kube-proxy-dzfrp                                             Container image "registry.k8s.io/kube-proxy:v1.35.0" already present on machine and can be accessed by the pod
kube-system          12m         Normal    Started                   pod/kube-proxy-9njtm                                             Container started
kube-system          12m         Normal    Created                   pod/kube-proxy-dzfrp                                             Container created
kube-system          12m         Warning   FailedMount               pod/kube-proxy-f8vhr                                             MountVolume.SetUp failed for volume "kube-proxy" : failed to sync configmap cache: timed out waiting for the condition
kube-system          12m         Normal    Started                   pod/kube-proxy-dzfrp                                             Container started
kube-system          12m         Normal    LeaderElection            lease/kube-scheduler                                             article3-performance-control-plane_16a5dffa-8e0d-4add-9afb-004cfbbfc0bc stopped leading
kube-system          12m         Normal    Pulled                    pod/kube-proxy-f8vhr                                             Container image "registry.k8s.io/kube-proxy:v1.35.0" already present on machine and can be accessed by the pod
kube-system          12m         Warning   Unhealthy                 pod/kube-controller-manager-article3-performance-control-plane   Liveness probe failed: Get "https://127.0.0.1:10257/healthz": read tcp 127.0.0.1:33008->127.0.0.1:10257: read: connection reset by peer
kube-system          12m         Warning   FailedMount               pod/kube-proxy-5vbtx                                             MountVolume.SetUp failed for volume "kube-proxy" : failed to sync configmap cache: timed out waiting for the condition
kube-system          117s        Warning   Unhealthy                 pod/kube-apiserver-article3-performance-control-plane            Liveness probe failed: HTTP probe failed with statuscode: 500
default              12m         Normal    Starting                  node/article3-performance-worker3                                
kube-system          8m48s       Warning   BackOff                   pod/kube-scheduler-article3-performance-control-plane            Back-off restarting failed container kube-scheduler in pod kube-scheduler-article3-performance-control-plane_kube-system(38013c1ff7595ecbb6a654827d4a784f)
kube-system          12m         Normal    Pulled                    pod/kube-proxy-5vbtx                                             Container image "registry.k8s.io/kube-proxy:v1.35.0" already present on machine and can be accessed by the pod
kube-system          12m         Normal    Created                   pod/kube-proxy-f8vhr                                             Container created
kube-system          12m         Normal    Created                   pod/kube-proxy-5vbtx                                             Container created
kube-system          12m         Normal    Started                   pod/kube-proxy-f8vhr                                             Container started
kube-system          12m         Normal    Started                   pod/kube-proxy-5vbtx                                             Container started
default              11m         Normal    Starting                  node/article3-performance-worker                                 
default              11m         Normal    Starting                  node/article3-performance-worker2                                
kube-system          7m45s       Warning   Unhealthy                 pod/kube-scheduler-article3-performance-control-plane            Startup probe failed: Get "https://127.0.0.1:10259/livez": dial tcp 127.0.0.1:10259: connect: connection refused
