NAMESPACE                 LAST SEEN   TYPE      REASON                    OBJECT                                                             MESSAGE
envoy-gateway-system      8m12s       Normal    Scheduled                 pod/envoy-default-greenops-aigw-dac3126f-5496985bff-6g7fm          Successfully assigned envoy-gateway-system/envoy-default-greenops-aigw-dac3126f-5496985bff-6g7fm to greenops-control-plane
envoy-gateway-system      8m11s       Normal    Pulling                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-qdr9l          Pulling image "docker.io/envoyproxy/envoy:distroless-v1.35.0"
envoy-gateway-system      8m11s       Normal    Pulling                   pod/envoy-default-greenops-aigw-dac3126f-5496985bff-6g7fm          Pulling image "docker.io/envoyproxy/ai-gateway-extproc:v0.7.0"
envoy-gateway-system      8m4s        Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-5496985bff-6g7fm          Container created
envoy-gateway-system      8m4s        Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-5496985bff-6g7fm          Container started
envoy-gateway-system      8m4s        Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-5496985bff-6g7fm          Successfully pulled image "docker.io/envoyproxy/ai-gateway-extproc:v0.7.0" in 6.99s (6.99s including waiting). Image size: 35535143 bytes.
envoy-gateway-system      8m3s        Normal    Pulling                   pod/envoy-default-greenops-aigw-dac3126f-5496985bff-6g7fm          Pulling image "docker.io/envoyproxy/envoy:distroless-v1.35.0"
envoy-gateway-system      7m58s       Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-qdr9l          Container created
envoy-gateway-system      7m58s       Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-qdr9l          Successfully pulled image "docker.io/envoyproxy/envoy:distroless-v1.35.0" in 6.524s (13.508s including waiting). Image size: 36688109 bytes.
envoy-gateway-system      7m57s       Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-qdr9l          Container started
envoy-gateway-system      7m57s       Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-qdr9l          Container created
envoy-gateway-system      7m57s       Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-qdr9l          Container image "docker.io/envoyproxy/gateway:v1.5.0" already present on machine and can be accessed by the pod
envoy-gateway-system      7m57s       Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-qdr9l          Container started
envoy-gateway-system      7m56s       Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-5496985bff-6g7fm          Container started
envoy-gateway-system      7m56s       Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-5496985bff-6g7fm          Container created
envoy-gateway-system      7m56s       Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-5496985bff-6g7fm          Successfully pulled image "docker.io/envoyproxy/envoy:distroless-v1.35.0" in 1.468s (6.911s including waiting). Image size: 36688109 bytes.
envoy-gateway-system      7m56s       Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-5496985bff-6g7fm          Container started
envoy-gateway-system      7m56s       Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-5496985bff-6g7fm          Container created
envoy-gateway-system      7m56s       Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-5496985bff-6g7fm          Container image "docker.io/envoyproxy/gateway:v1.5.0" already present on machine and can be accessed by the pod
envoy-gateway-system      7m50s       Normal    SuccessfulDelete          replicaset/envoy-default-greenops-aigw-dac3126f-54f887cbf5         Deleted pod: envoy-default-greenops-aigw-dac3126f-54f887cbf5-qdr9l
default                   7m50s       Normal    Reconciled                aigateway/main-gateway                                             Governs 0 namespace(s) via aigw telemetry
envoy-gateway-system      7m50s       Normal    ScalingReplicaSet         deployment/envoy-default-greenops-aigw-dac3126f                    Scaled down replica set envoy-default-greenops-aigw-dac3126f-54f887cbf5 from 1 to 0
legal                     7m48s       Normal    ScalingReplicaSet         deployment/contract-review                                         Scaled up replica set contract-review-795d8c9dbf from 0 to 1
envoy-gateway-system      7m48s       Normal    Killing                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-qdr9l          Stopping container envoy
rh                        7m48s       Normal    Scheduled                 pod/chatbot-rh-689c9d7d97-4572s                                    Successfully assigned rh/chatbot-rh-689c9d7d97-4572s to greenops-control-plane
envoy-gateway-system      7m48s       Normal    Killing                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-qdr9l          Stopping container shutdown-manager
legal                     7m48s       Normal    SuccessfulCreate          replicaset/contract-review-795d8c9dbf                              Created pod: contract-review-795d8c9dbf-55vd4
legal                     7m48s       Normal    Scheduled                 pod/contract-review-795d8c9dbf-55vd4                               Successfully assigned legal/contract-review-795d8c9dbf-55vd4 to greenops-control-plane
rh                        7m48s       Normal    SuccessfulCreate          replicaset/chatbot-rh-689c9d7d97                                   Created pod: chatbot-rh-689c9d7d97-4572s
rh                        7m48s       Normal    ScalingReplicaSet         deployment/chatbot-rh                                              Scaled up replica set chatbot-rh-689c9d7d97 from 0 to 1
rh                        7m47s       Normal    Pulling                   pod/chatbot-rh-689c9d7d97-4572s                                    Pulling image "curlimages/curl:8.10.1"
legal                     7m47s       Normal    Pulling                   pod/contract-review-795d8c9dbf-55vd4                               Pulling image "curlimages/curl:8.10.1"
finance                   7m45s       Normal    SuccessfulCreate          replicaset/risk-assistant-7bd4478ddd                               Created pod: risk-assistant-7bd4478ddd-llqx9
finance                   7m45s       Normal    ScalingReplicaSet         deployment/risk-assistant                                          Scaled up replica set risk-assistant-7bd4478ddd from 0 to 1
finance                   7m45s       Normal    Scheduled                 pod/risk-assistant-7bd4478ddd-llqx9                                Successfully assigned finance/risk-assistant-7bd4478ddd-llqx9 to greenops-control-plane
finance                   7m44s       Normal    Pulling                   pod/risk-assistant-7bd4478ddd-llqx9                                Pulling image "curlimages/curl:8.10.1"
marketing                 7m43s       Normal    Scheduled                 pod/content-writer-755f88f97b-27dhl                                Successfully assigned marketing/content-writer-755f88f97b-27dhl to greenops-control-plane
marketing                 7m43s       Normal    ScalingReplicaSet         deployment/content-writer                                          Scaled up replica set content-writer-755f88f97b from 0 to 1
marketing                 7m43s       Normal    Pulling                   pod/content-writer-755f88f97b-27dhl                                Pulling image "curlimages/curl:8.10.1"
marketing                 7m43s       Normal    SuccessfulCreate          replicaset/content-writer-755f88f97b                               Created pod: content-writer-755f88f97b-27dhl
rh                        7m42s       Normal    Created                   pod/chatbot-rh-689c9d7d97-4572s                                    Container created
rh                        7m42s       Normal    Pulled                    pod/chatbot-rh-689c9d7d97-4572s                                    Successfully pulled image "curlimages/curl:8.10.1" in 5.459s (5.459s including waiting). Image size: 9414401 bytes.
rh                        7m41s       Normal    Started                   pod/chatbot-rh-689c9d7d97-4572s                                    Container started
legal                     7m41s       Normal    Pulled                    pod/contract-review-795d8c9dbf-55vd4                               Successfully pulled image "curlimages/curl:8.10.1" in 1.43s (6.846s including waiting). Image size: 9414401 bytes.
rh                        7m41s       Normal    Created                   pod/chatbot-rh-689c9d7d97-4572s                                    Container created
rh                        7m41s       Normal    Pulled                    pod/chatbot-rh-689c9d7d97-4572s                                    Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.5.2" already present on machine and can be accessed by the pod
rh                        7m41s       Normal    Started                   pod/chatbot-rh-689c9d7d97-4572s                                    Container started
legal                     7m40s       Normal    Started                   pod/contract-review-795d8c9dbf-55vd4                               Container started
legal                     7m40s       Normal    Created                   pod/contract-review-795d8c9dbf-55vd4                               Container created
legal                     7m40s       Normal    Created                   pod/contract-review-795d8c9dbf-55vd4                               Container created
legal                     7m40s       Normal    Pulled                    pod/contract-review-795d8c9dbf-55vd4                               Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.5.2" already present on machine and can be accessed by the pod
legal                     7m40s       Normal    Started                   pod/contract-review-795d8c9dbf-55vd4                               Container started
envoy-gateway-system      7m40s       Warning   Unhealthy                 pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-qdr9l          Readiness probe failed: HTTP probe failed with statuscode: 503
finance                   7m39s       Normal    Created                   pod/risk-assistant-7bd4478ddd-llqx9                                Container created
finance                   7m39s       Normal    Pulled                    pod/risk-assistant-7bd4478ddd-llqx9                                Successfully pulled image "curlimages/curl:8.10.1" in 1.646s (5.329s including waiting). Image size: 9414401 bytes.
finance                   7m38s       Normal    Started                   pod/risk-assistant-7bd4478ddd-llqx9                                Container started
finance                   7m38s       Normal    Pulled                    pod/risk-assistant-7bd4478ddd-llqx9                                Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.5.2" already present on machine and can be accessed by the pod
finance                   7m38s       Normal    Created                   pod/risk-assistant-7bd4478ddd-llqx9                                Container created
finance                   7m38s       Normal    Started                   pod/risk-assistant-7bd4478ddd-llqx9                                Container started
marketing                 7m38s       Normal    Pulled                    pod/content-writer-755f88f97b-27dhl                                Successfully pulled image "curlimages/curl:8.10.1" in 1.375s (5.234s including waiting). Image size: 9414401 bytes.
marketing                 7m37s       Normal    Started                   pod/content-writer-755f88f97b-27dhl                                Container started
marketing                 7m37s       Normal    Pulled                    pod/content-writer-755f88f97b-27dhl                                Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.5.2" already present on machine and can be accessed by the pod
marketing                 7m37s       Normal    Started                   pod/content-writer-755f88f97b-27dhl                                Container started
envoy-gateway-system      7m37s       Warning   FailedPreStopHook         pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-qdr9l          PreStopHook failed
