NAMESPACE                 LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
greenops-system           5m19s       Normal    Pulled                    pod/greenops-ai-sovereign-finops-operator-5c497f985c-cc2z2    Container image "ghcr.io/ihsenalaya/ai-sovereign-finops-operator:0.3.7" already present on machine and can be accessed by the pod
greenops-system           5m19s       Normal    Created                   pod/greenops-ai-sovereign-finops-operator-5c497f985c-cc2z2    Container created
envoy-gateway-system      4m55s       Normal    Scheduled                 pod/eg-gateway-helm-certgen-x6sg2                             Successfully assigned envoy-gateway-system/eg-gateway-helm-certgen-x6sg2 to greenops-control-plane
envoy-gateway-system      4m55s       Normal    SuccessfulCreate          job/eg-gateway-helm-certgen                                   Created pod: eg-gateway-helm-certgen-x6sg2
envoy-gateway-system      4m55s       Normal    Pulling                   pod/eg-gateway-helm-certgen-x6sg2                             Pulling image "docker.io/envoyproxy/gateway:v1.5.0"
envoy-gateway-system      4m44s       Normal    Started                   pod/eg-gateway-helm-certgen-x6sg2                             Container started
envoy-gateway-system      4m44s       Normal    Created                   pod/eg-gateway-helm-certgen-x6sg2                             Container created
envoy-gateway-system      4m44s       Normal    Pulled                    pod/eg-gateway-helm-certgen-x6sg2                             Successfully pulled image "docker.io/envoyproxy/gateway:v1.5.0" in 10.526s (10.526s including waiting). Image size: 74229543 bytes.
envoy-gateway-system      4m36s       Normal    ScalingReplicaSet         deployment/envoy-gateway                                      Scaled up replica set envoy-gateway-6b9486fbbc from 0 to 1
envoy-gateway-system      4m36s       Normal    Completed                 job/eg-gateway-helm-certgen                                   Job completed
envoy-gateway-system      4m36s       Normal    SuccessfulCreate          replicaset/envoy-gateway-6b9486fbbc                           Created pod: envoy-gateway-6b9486fbbc-jv589
envoy-gateway-system      4m36s       Normal    Pulled                    pod/envoy-gateway-6b9486fbbc-jv589                            Container image "docker.io/envoyproxy/gateway:v1.5.0" already present on machine and can be accessed by the pod
envoy-gateway-system      4m36s       Normal    Scheduled                 pod/envoy-gateway-6b9486fbbc-jv589                            Successfully assigned envoy-gateway-system/envoy-gateway-6b9486fbbc-jv589 to greenops-control-plane
envoy-gateway-system      4m35s       Normal    LeaderElection            lease/5b9825d2.gateway.envoyproxy.io                          envoy-gateway-6b9486fbbc-jv589_adcb08f9-9383-4381-be12-2546414f30d4 became leader
envoy-gateway-system      4m35s       Normal    Started                   pod/envoy-gateway-6b9486fbbc-jv589                            Container started
envoy-gateway-system      4m35s       Normal    Created                   pod/envoy-gateway-6b9486fbbc-jv589                            Container created
envoy-ai-gateway-system   4m16s       Normal    ScalingReplicaSet         deployment/ai-gateway-controller                              Scaled up replica set ai-gateway-controller-897c74ddb from 0 to 1
envoy-ai-gateway-system   4m16s       Normal    Scheduled                 pod/ai-gateway-controller-897c74ddb-wjp92                     Successfully assigned envoy-ai-gateway-system/ai-gateway-controller-897c74ddb-wjp92 to greenops-control-plane
envoy-ai-gateway-system   4m16s       Normal    SuccessfulCreate          replicaset/ai-gateway-controller-897c74ddb                    Created pod: ai-gateway-controller-897c74ddb-wjp92
envoy-ai-gateway-system   4m15s       Normal    Pulling                   pod/ai-gateway-controller-897c74ddb-wjp92                     Pulling image "docker.io/envoyproxy/ai-gateway-controller:v0.7.0"
envoy-ai-gateway-system   4m6s        Normal    Started                   pod/ai-gateway-controller-897c74ddb-wjp92                     Container started
envoy-ai-gateway-system   4m6s        Normal    Pulled                    pod/ai-gateway-controller-897c74ddb-wjp92                     Successfully pulled image "docker.io/envoyproxy/ai-gateway-controller:v0.7.0" in 8.892s (8.892s including waiting). Image size: 45438281 bytes.
envoy-ai-gateway-system   4m6s        Normal    Created                   pod/ai-gateway-controller-897c74ddb-wjp92                     Container created
envoy-ai-gateway-system   4m5s        Normal    LeaderElection            lease/envoy-ai-gateway-controller                             ai-gateway-controller-897c74ddb-wjp92_a5ff1081-438d-4a8a-95ff-68bf6b1dacdd became leader
envoy-gateway-system      3m59s       Normal    ScalingReplicaSet         deployment/envoy-default-greenops-aigw-dac3126f               Scaled up replica set envoy-default-greenops-aigw-dac3126f-54f887cbf5 from 0 to 1
envoy-gateway-system      3m59s       Normal    SuccessfulCreate          replicaset/envoy-default-greenops-aigw-dac3126f-54f887cbf5    Created pod: envoy-default-greenops-aigw-dac3126f-54f887cbf5-mxffd
envoy-gateway-system      3m59s       Normal    Scheduled                 pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-mxffd     Successfully assigned envoy-gateway-system/envoy-default-greenops-aigw-dac3126f-54f887cbf5-mxffd to greenops-control-plane
envoy-gateway-system      3m58s       Normal    Pulling                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-mxffd     Pulling image "docker.io/envoyproxy/envoy:distroless-v1.35.0"
envoy-gateway-system      3m54s       Normal    ScalingReplicaSet         deployment/envoy-default-greenops-aigw-dac3126f               Scaled up replica set envoy-default-greenops-aigw-dac3126f-6ff67d9fbb from 0 to 1
envoy-gateway-system      3m54s       Normal    Scheduled                 pod/envoy-default-greenops-aigw-dac3126f-6ff67d9fbb-sh7j6     Successfully assigned envoy-gateway-system/envoy-default-greenops-aigw-dac3126f-6ff67d9fbb-sh7j6 to greenops-control-plane
envoy-gateway-system      3m54s       Normal    SuccessfulCreate          replicaset/envoy-default-greenops-aigw-dac3126f-6ff67d9fbb    Created pod: envoy-default-greenops-aigw-dac3126f-6ff67d9fbb-sh7j6
envoy-gateway-system      3m52s       Normal    Pulling                   pod/envoy-default-greenops-aigw-dac3126f-6ff67d9fbb-sh7j6     Pulling image "docker.io/envoyproxy/ai-gateway-extproc:v0.7.0"
envoy-gateway-system      3m51s       Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-mxffd     Container image "docker.io/envoyproxy/gateway:v1.5.0" already present on machine and can be accessed by the pod
envoy-gateway-system      3m51s       Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-mxffd     Container started
envoy-gateway-system      3m51s       Normal    Pulled                    pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-mxffd     Successfully pulled image "docker.io/envoyproxy/envoy:distroless-v1.35.0" in 6.621s (6.621s including waiting). Image size: 36688109 bytes.
envoy-gateway-system      3m51s       Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-mxffd     Container created
envoy-gateway-system      3m51s       Normal    Started                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-mxffd     Container started
envoy-gateway-system      3m51s       Normal    Created                   pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-mxffd     Container created
finance                   3m47s       Normal    SuccessfulCreate          replicaset/risk-assistant-659f569787                          Created pod: risk-assistant-659f569787-dzmg2
legal                     3m47s       Normal    ScalingReplicaSet         deployment/contract-review                                    Scaled up replica set contract-review-787956 from 0 to 1
rh                        3m47s       Normal    Scheduled                 pod/chatbot-rh-5b6476cc45-tvvq2                               Successfully assigned rh/chatbot-rh-5b6476cc45-tvvq2 to greenops-control-plane
finance                   3m47s       Normal    Scheduled                 pod/risk-assistant-659f569787-dzmg2                           Successfully assigned finance/risk-assistant-659f569787-dzmg2 to greenops-control-plane
