NAMESPACE                 LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
kube-system               4m51s       Normal    Started                   pod/coredns-7d764666f9-76xs9                                  Container started
kube-system               4m51s       Normal    Created                   pod/coredns-7d764666f9-76xs9                                  Container created
local-path-storage        4m49s       Normal    Started                   pod/local-path-provisioner-67b8995b4b-9gn4n                   Container started
local-path-storage        4m49s       Normal    Created                   pod/local-path-provisioner-67b8995b4b-9gn4n                   Container created
envoy-gateway-system      4m25s       Normal    SuccessfulCreate          job/eg-gateway-helm-certgen                                   Created pod: eg-gateway-helm-certgen-mhksr
envoy-gateway-system      4m25s       Normal    Scheduled                 pod/eg-gateway-helm-certgen-mhksr                             Successfully assigned envoy-gateway-system/eg-gateway-helm-certgen-mhksr to greenops-control-plane
envoy-gateway-system      4m24s       Normal    Pulling                   pod/eg-gateway-helm-certgen-mhksr                             Pulling image "docker.io/envoyproxy/gateway:v1.5.0"
envoy-gateway-system      4m8s        Normal    Created                   pod/eg-gateway-helm-certgen-mhksr                             Container created
envoy-gateway-system      4m8s        Normal    Pulled                    pod/eg-gateway-helm-certgen-mhksr                             Successfully pulled image "docker.io/envoyproxy/gateway:v1.5.0" in 15.969s (15.969s including waiting). Image size: 74229543 bytes.
envoy-gateway-system      4m7s        Normal    Started                   pod/eg-gateway-helm-certgen-mhksr                             Container started
envoy-gateway-system      4m          Normal    SuccessfulCreate          replicaset/envoy-gateway-6b9486fbbc                           Created pod: envoy-gateway-6b9486fbbc-nbgkh
envoy-gateway-system      4m          Normal    ScalingReplicaSet         deployment/envoy-gateway                                      Scaled up replica set envoy-gateway-6b9486fbbc from 0 to 1
envoy-gateway-system      4m          Normal    Completed                 job/eg-gateway-helm-certgen                                   Job completed
envoy-gateway-system      4m          Normal    Scheduled                 pod/envoy-gateway-6b9486fbbc-nbgkh                            Successfully assigned envoy-gateway-system/envoy-gateway-6b9486fbbc-nbgkh to greenops-control-plane
envoy-gateway-system      3m59s       Normal    Started                   pod/envoy-gateway-6b9486fbbc-nbgkh                            Container started
envoy-gateway-system      3m59s       Normal    Created                   pod/envoy-gateway-6b9486fbbc-nbgkh                            Container created
envoy-gateway-system      3m59s       Normal    Pulled                    pod/envoy-gateway-6b9486fbbc-nbgkh                            Container image "docker.io/envoyproxy/gateway:v1.5.0" already present on machine and can be accessed by the pod
envoy-gateway-system      3m59s       Normal    LeaderElection            lease/5b9825d2.gateway.envoyproxy.io                          envoy-gateway-6b9486fbbc-nbgkh_7e8a3806-361b-4335-a91b-797594b33c0f became leader
envoy-ai-gateway-system   3m39s       Normal    ScalingReplicaSet         deployment/ai-gateway-controller                              Scaled up replica set ai-gateway-controller-897c74ddb from 0 to 1
envoy-ai-gateway-system   3m38s       Normal    Pulling                   pod/ai-gateway-controller-897c74ddb-cxwpg                     Pulling image "docker.io/envoyproxy/ai-gateway-controller:v0.7.0"
envoy-ai-gateway-system   3m38s       Normal    SuccessfulCreate          replicaset/ai-gateway-controller-897c74ddb                    Created pod: ai-gateway-controller-897c74ddb-cxwpg
envoy-ai-gateway-system   3m38s       Normal    Scheduled                 pod/ai-gateway-controller-897c74ddb-cxwpg                     Successfully assigned envoy-ai-gateway-system/ai-gateway-controller-897c74ddb-cxwpg to greenops-control-plane
envoy-ai-gateway-system   3m28s       Normal    Created                   pod/ai-gateway-controller-897c74ddb-cxwpg                     Container created
envoy-ai-gateway-system   3m28s       Normal    Pulled                    pod/ai-gateway-controller-897c74ddb-cxwpg                     Successfully pulled image "docker.io/envoyproxy/ai-gateway-controller:v0.7.0" in 9.978s (9.978s including waiting). Image size: 45438281 bytes.
envoy-ai-gateway-system   3m27s       Normal    LeaderElection            lease/envoy-ai-gateway-controller                             ai-gateway-controller-897c74ddb-cxwpg_4410e8af-9dde-46e1-989e-8bf070a96a17 became leader
envoy-ai-gateway-system   3m27s       Normal    Started                   pod/ai-gateway-controller-897c74ddb-cxwpg                     Container started
envoy-gateway-system      3m20s       Normal    SuccessfulCreate          replicaset/envoy-default-greenops-aigw-dac3126f-54f887cbf5    Created pod: envoy-default-greenops-aigw-dac3126f-54f887cbf5-n4927
envoy-gateway-system      3m20s       Normal    Scheduled                 pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-n4927     Successfully assigned envoy-gateway-system/envoy-default-greenops-aigw-dac3126f-54f887cbf5-n4927 to greenops-control-plane
