NAMESPACE            LAST SEEN   TYPE      REASON                         OBJECT                                                  MESSAGE
local-path-storage   37m         Normal    SandboxChanged                 pod/local-path-provisioner-67b8995b4b-zv2qd             Pod sandbox changed, it will be killed and re-created.
kube-system          37m         Normal    Pulled                         pod/kube-proxy-2kzlh                                    Container image "registry.k8s.io/kube-proxy:v1.35.0" already present on machine and can be accessed by the pod
kube-system          37m         Normal    Pulled                         pod/coredns-7d764666f9-2lfzl                            Container image "registry.k8s.io/coredns/coredns:v1.13.1" already present on machine and can be accessed by the pod
kube-system          37m         Normal    Created                        pod/kube-proxy-2kzlh                                    Container created
kube-system          37m         Normal    Pulled                         pod/kindnet-rtrm2                                       Container image "docker.io/kindest/kindnetd:v20251212-v0.29.0-alpha-105-g20ccfc88" already present on machine and can be accessed by the pod
ai-platform          37m         Normal    Pulled                         pod/key-release-gateway-65b545c5fc-ppvlj                Container image "key-release-gateway:0.5.4" already present on machine and can be accessed by the pod
kube-system          37m         Normal    Created                        pod/coredns-7d764666f9-2lfzl                            Container created
kube-system          37m         Normal    Started                        pod/coredns-7d764666f9-2lfzl                            Container started
kube-system          37m         Normal    Started                        pod/kube-proxy-2kzlh                                    Container started
ai-platform          41s         Normal    Pulled                         pod/governance-operator-694998d56f-wv9vv                Container image "controller:0.5.4" already present on machine and can be accessed by the pod
ai-platform          37m         Normal    Created                        pod/key-release-gateway-65b545c5fc-ppvlj                Container created
ai-platform          16m         Normal    Pulled                         pod/attestation-scheduler-77cb5fd6f5-44d6r              Container image "attestation-scheduler:0.5.4" already present on machine and can be accessed by the pod
ai-platform          37m         Normal    Pulled                         pod/platform-api-76766bbd4f-jrrgh                       Container image "platform-api:0.5.4" already present on machine and can be accessed by the pod
ai-platform          15m         Normal    Pulled                         pod/attestation-scheduler-79cf9998c8-87n5s              Container image "attestation-scheduler:0.5.4" already present on machine and can be accessed by the pod
kube-system          37m         Warning   Unhealthy                      pod/coredns-7d764666f9-2lfzl                            Readiness probe failed: Get "http://10.244.0.3:8181/ready": dial tcp 10.244.0.3:8181: connect: connection refused
kube-system          37m         Normal    Pulled                         pod/coredns-7d764666f9-rvcc5                            Container image "registry.k8s.io/coredns/coredns:v1.13.1" already present on machine and can be accessed by the pod
ai-platform          36m         Normal    Pulled                         pod/platform-ui-6784956d-5hfv4                          Container image "platform-ui:0.5.4" already present on machine and can be accessed by the pod
local-path-storage   36m         Normal    Pulled                         pod/local-path-provisioner-67b8995b4b-zv2qd             Container image "docker.io/kindest/local-path-provisioner:v20251212-v0.29.0-alpha-105-g20ccfc88" already present on machine and can be accessed by the pod
ai-platform          22m         Normal    Created                        pod/attestation-scheduler-79cf9998c8-87n5s              Container created
ai-platform          37m         Normal    Created                        pod/platform-api-76766bbd4f-jrrgh                       Container created
ai-platform          37m         Normal    Started                        pod/key-release-gateway-65b545c5fc-ppvlj                Container started
kube-system          37m         Normal    Created                        pod/coredns-7d764666f9-rvcc5                            Container created
local-path-storage   36m         Normal    Created                        pod/local-path-provisioner-67b8995b4b-zv2qd             Container created
ai-platform          41s         Normal    Created                        pod/governance-operator-694998d56f-wv9vv                Container created
kube-system          37m         Normal    Created                        pod/kindnet-rtrm2                                       Container created
ai-platform          23m         Normal    Created                        pod/attestation-scheduler-77cb5fd6f5-44d6r              Container created
ai-platform          36m         Normal    Created                        pod/platform-ui-6784956d-5hfv4                          Container created
ai-platform          41s         Normal    Started                        pod/governance-operator-694998d56f-wv9vv                Container started
kube-system          37m         Normal    Started                        pod/coredns-7d764666f9-rvcc5                            Container started
ai-platform          22m         Normal    Started                        pod/attestation-scheduler-79cf9998c8-87n5s              Container started
kube-system          37m         Normal    Started                        pod/kindnet-rtrm2                                       Container started
ai-platform          37m         Normal    Started                        pod/platform-api-76766bbd4f-jrrgh                       Container started
kube-system          37m         Warning   Unhealthy                      pod/coredns-7d764666f9-2lfzl                            Readiness probe failed: HTTP probe failed with statuscode: 503
kube-system          37m         Warning   Unhealthy                      pod/coredns-7d764666f9-rvcc5                            Readiness probe failed: HTTP probe failed with statuscode: 503
kube-system          37m         Normal    LeaderElection                 lease/kube-scheduler                                    ai-platform-control-plane_beb4ca9b-a736-4d42-8cc0-349e543ae617 became leader
local-path-storage   36m         Normal    Started                        pod/local-path-provisioner-67b8995b4b-zv2qd             Container started
ai-platform          23m         Normal    Started                        pod/attestation-scheduler-77cb5fd6f5-44d6r              Container started
ai-platform          36m         Normal    Started                        pod/platform-ui-6784956d-5hfv4                          Container started
default              37m         Normal    Starting                       node/ai-platform-control-plane                          
ai-platform          37m         Warning   Unhealthy                      pod/platform-ui-6784956d-5hfv4                          Readiness probe failed: Get "http://10.244.0.10:8080/": dial tcp 10.244.0.10:8080: connect: connection refused
kube-system          37m         Normal    LeaderElection                 lease/kube-controller-manager                           ai-platform-control-plane_3e9fe419-7dab-4769-a095-f28e4b445453 became leader
default              37m         Normal    RegisteredNode                 node/ai-platform-control-plane                          Node ai-platform-control-plane event: Registered Node ai-platform-control-plane in Controller
ai-platform          37m         Warning   BackOff                        pod/platform-ui-6784956d-5hfv4                          Back-off restarting failed container platform-ui in pod platform-ui-6784956d-5hfv4_ai-platform(d03b3c17-04f4-489d-8c23-8e67089d3dea)
ai-platform          37m         Warning   Unhealthy                      pod/attestation-scheduler-79cf9998c8-87n5s              Readiness probe failed: Get "http://10.244.0.6:8087/readyz": dial tcp 10.244.0.6:8087: connect: connection refused
ai-platform          26m         Warning   Unhealthy                      pod/governance-operator-694998d56f-wv9vv                Readiness probe failed: Get "http://10.244.0.8:8081/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ai-platform          37m         Warning   Unhealthy                      pod/attestation-scheduler-79cf9998c8-87n5s              Liveness probe failed: Get "http://10.244.0.6:8087/healthz": dial tcp 10.244.0.6:8087: connect: connection refused
ai-platform          37m         Warning   Unhealthy                      pod/attestation-scheduler-77cb5fd6f5-44d6r              Readiness probe failed: Get "http://10.244.0.9:8087/readyz": dial tcp 10.244.0.9:8087: connect: connection refused
ai-platform          27m         Warning   BackOff                        pod/attestation-scheduler-77cb5fd6f5-44d6r              Back-off restarting failed container attestation-scheduler in pod attestation-scheduler-77cb5fd6f5-44d6r_ai-platform(dd0dd65b-b085-4617-bfab-d501eb3c6bc5)
ai-platform          26m         Warning   Unhealthy                      pod/governance-operator-694998d56f-wv9vv                Liveness probe failed: Get "http://10.244.0.8:8081/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
ai-platform          16m         Warning   BackOff                        pod/attestation-scheduler-79cf9998c8-87n5s              Back-off restarting failed container attestation-scheduler in pod attestation-scheduler-79cf9998c8-87n5s_ai-platform(e70d4af8-273c-4dd0-8bc6-c749956c7af5)
