NAMESPACE            LAST SEEN   TYPE      REASON                    OBJECT                                                           MESSAGE
kube-system          9m22s       Normal    SuccessfulCreate          daemonset/kube-proxy                                             Created pod: kube-proxy-7blbs
kube-system          9m22s       Normal    SuccessfulCreate          daemonset/kube-proxy                                             Created pod: kube-proxy-5v8gc
kube-system          9m22s       Normal    Scheduled                 pod/kube-proxy-7blbs                                             Successfully assigned kube-system/kube-proxy-7blbs to article3-performance-worker2
default              9m22s       Normal    NodeAllocatableEnforced   node/article3-performance-worker3                                Updated Node Allocatable limit across pods
default              9m22s       Normal    RegisteredNode            node/article3-performance-worker2                                Node article3-performance-worker2 event: Registered Node article3-performance-worker2 in Controller
default              9m22s       Normal    NodeAllocatableEnforced   node/article3-performance-worker2                                Updated Node Allocatable limit across pods
default              9m22s       Normal    NodeHasSufficientPID      node/article3-performance-worker2                                Node article3-performance-worker2 status is now: NodeHasSufficientPID
default              9m22s       Normal    NodeHasNoDiskPressure     node/article3-performance-worker2                                Node article3-performance-worker2 status is now: NodeHasNoDiskPressure
kube-system          9m22s       Normal    Scheduled                 pod/kube-proxy-5v8gc                                             Successfully assigned kube-system/kube-proxy-5v8gc to article3-performance-worker3
default              9m22s       Normal    Starting                  node/article3-performance-worker                                 Starting kubelet.
default              9m22s       Normal    NodeHasSufficientMemory   node/article3-performance-worker2                                Node article3-performance-worker2 status is now: NodeHasSufficientMemory
kube-system          9m22s       Normal    Scheduled                 pod/kube-proxy-rc8tf                                             Successfully assigned kube-system/kube-proxy-rc8tf to article3-performance-worker
default              9m22s       Normal    NodeHasSufficientPID      node/article3-performance-worker                                 Node article3-performance-worker status is now: NodeHasSufficientPID
default              9m22s       Normal    NodeAllocatableEnforced   node/article3-performance-worker                                 Updated Node Allocatable limit across pods
kube-system          9m21s       Normal    Pulled                    pod/kube-proxy-rc8tf                                             Container image "registry.k8s.io/kube-proxy:v1.35.0" already present on machine and can be accessed by the pod
kube-system          9m21s       Normal    Pulled                    pod/kube-proxy-5v8gc                                             Container image "registry.k8s.io/kube-proxy:v1.35.0" already present on machine and can be accessed by the pod
kube-system          9m19s       Normal    Pulled                    pod/kube-proxy-7blbs                                             Container image "registry.k8s.io/kube-proxy:v1.35.0" already present on machine and can be accessed by the pod
kube-system          9m19s       Normal    Created                   pod/kube-proxy-rc8tf                                             Container created
kube-system          9m19s       Normal    Created                   pod/kube-proxy-5v8gc                                             Container created
kube-system          9m19s       Normal    Started                   pod/kube-proxy-5v8gc                                             Container started
default              9m17s       Normal    Starting                  node/article3-performance-worker                                 
default              9m17s       Normal    Starting                  node/article3-performance-worker3                                
kube-system          9m18s       Normal    Started                   pod/kube-proxy-rc8tf                                             Container started
kube-system          9m17s       Normal    Created                   pod/kube-proxy-7blbs                                             Container created
kube-system          9m17s       Normal    Started                   pod/kube-proxy-7blbs                                             Container started
default              9m15s       Normal    Starting                  node/article3-performance-worker2                                
kube-system          3m58s       Warning   FailedScheduling          pod/coredns-7d764666f9-d44n9                                     0/4 nodes are available: 4 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 4 Preemption is not helpful for scheduling.
local-path-storage   3m58s       Warning   FailedScheduling          pod/local-path-provisioner-67b8995b4b-7hc8p                      0/4 nodes are available: 4 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 4 Preemption is not helpful for scheduling.
kube-system          3m58s       Warning   FailedScheduling          pod/coredns-7d764666f9-j5lb8                                     0/4 nodes are available: 4 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 4 Preemption is not helpful for scheduling.
kube-system          56s         Normal    NoPods                    poddisruptionbudget/calico-kube-controllers                      No matching pods found
kube-system          55s         Normal    Scheduled                 pod/calico-node-hfqqw                                            Successfully assigned kube-system/calico-node-hfqqw to article3-performance-control-plane
kube-system          55s         Normal    SuccessfulCreate          daemonset/calico-node                                            Created pod: calico-node-blglx
kube-system          55s         Warning   FailedScheduling          pod/calico-kube-controllers-77bdb5dddb-mnzxq                     0/4 nodes are available: 4 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 4 Preemption is not helpful for scheduling.
kube-system          55s         Normal    SuccessfulCreate          replicaset/calico-kube-controllers-77bdb5dddb                    Created pod: calico-kube-controllers-77bdb5dddb-mnzxq
