strategy,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,routing_decision_us
B1-premium-static,906.00,2494.00,2646.00,1125.97,22.03
B2-round-robin,703.00,2323.00,3475.00,970.73,14.46
B3-least-cost,700.00,1476.00,2815.00,753.98,11.18
B4-static-policy,797.00,1911.00,2634.00,941.30,19.79
B5-budget-hard-block,906.00,2494.00,2646.00,1125.97,6.07
B6-ours,906.00,3475.00,4265.00,1483.55,26.55
