conf	aks-conf-12838440-vmss000000	ai-platform	evidence-aks-conf-12838440-vmss000000	166
conf	aks-conf-12838440-vmss000004	ai-platform	evidence-aks-conf-12838440-vmss000004	166
conf	aks-conf-12838440-vmss000005	ai-platform	evidence-aks-conf-12838440-vmss000005	173
conf	aks-conf-12838440-vmss000006	ai-platform	evidence-aks-conf-12838440-vmss000006	173
system	aks-system-37319869-vmss000000			0
