label,model,base,concurrency,served,errors,wall_s,req_per_s,tokens_per_s,lat_p50_ms,lat_p95_ms,lat_p99_ms,lat_mean_ms,in_tokens,out_tokens,gpu_util_avg_pct
direct,gpt-4o-mini,https://api.openai.com/v1,8,48,0,8.26,5.81,270.05,1067.00,1838.00,2641.00,1116.25,1506,2230,0.00
via-envoy,gpt-4o-mini,http://localhost:10000/v1,8,48,0,7.93,6.05,279.04,1229.00,1681.00,2212.00,1153.33,1506,2214,0.00
