timestamp,env,run_id,warmup,baseline,scheduler,node,success,admission_latency_ms,prefilter_latency_ms,filter_latency_ms,score_latency_ms,permit_wait_ms,prebind_latency_ms,bind_latency_ms,scheduler_total_latency_ms,pod_pending_duration_ms,pod_admission_to_running_ms,scheduler_cpu_millicores,scheduler_memory_mib,raw_log_path
2026-07-06T06:42:20Z,aks-real-sevsnp,B1-27,false,B1,default-scheduler,aks-system-37319869-vmss000000,success,2891,,,,,,,1324,4215,2538,2.0,16.0,article1/results/raw/aks/performance-b1-b5/b1-027-074208.log
2026-07-06T06:42:32Z,aks-real-sevsnp,B1-28,false,B1,default-scheduler,aks-system-37319869-vmss000000,success,2658,,,,,,,942,3600,1945,2.0,16.0,article1/results/raw/aks/performance-b1-b5/b1-028-074221.log
2026-07-06T06:42:46Z,aks-real-sevsnp,B1-29,false,B1,default-scheduler,aks-system-37319869-vmss000000,success,2810,,,,,,,1122,3932,2760,2.0,16.0,article1/results/raw/aks/performance-b1-b5/b1-029-074233.log
2026-07-06T06:42:58Z,aks-real-sevsnp,B1-30,false,B1,default-scheduler,aks-system-37319869-vmss000000,success,2260,,,,,,,1110,3370,2223,3.0,16.0,article1/results/raw/aks/performance-b1-b5/b1-030-074247.log
2026-07-06T06:43:10Z,aks-real-sevsnp,B1-31,false,B1,default-scheduler,aks-system-37319869-vmss000000,success,2301,,,,,,,1281,3582,2338,3.0,16.0,article1/results/raw/aks/performance-b1-b5/b1-031-074259.log
2026-07-06T06:43:24Z,aks-real-sevsnp,B1-32,false,B1,default-scheduler,aks-system-37319869-vmss000000,success,3016,,,,,,,1075,4091,2094,3.0,16.0,article1/results/raw/aks/performance-b1-b5/b1-032-074311.log
2026-07-06T06:43:39Z,aks-real-sevsnp,B2-1,true,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2924,,,,,,,1025,3949,4357,3.0,16.0,article1/results/raw/aks/performance-b1-b5/b2-001-074325.log
2026-07-06T06:43:52Z,aks-real-sevsnp,B2-2,true,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2710,,,,,,,1154,3864,2308,1.0,16.0,article1/results/raw/aks/performance-b1-b5/b2-002-074340.log
2026-07-06T06:44:04Z,aks-real-sevsnp,B2-3,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2503,,,,,,,1073,3576,2368,1.0,16.0,article1/results/raw/aks/performance-b1-b5/b2-003-074353.log
2026-07-06T06:44:17Z,aks-real-sevsnp,B2-4,false,B2,default-scheduler,aks-conf-12838440-vmss000006,success,2919,,,,,,,1130,4049,2252,1.0,16.0,article1/results/raw/aks/performance-b1-b5/b2-004-074405.log
