timestamp,env,run_id,attack_id,adversary,scenario,expected,actual,blocked,status,reason,raw_log_path
2026-07-05T22:34:56Z,aks-real-sevsnp,run-5,A6,adversarial-principal,policy modified between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,policy_hash_mismatch_prebind_blocked,article1/results/raw/aks/missing-attacks/A6-run-5.log
2026-07-05T22:36:01Z,aks-real-sevsnp,run-5,A7,adversarial-principal,evidence revoked between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_prebind_blocked,article1/results/raw/aks/missing-attacks/A7-run-5.log
2026-07-05T22:36:18Z,aks-real-sevsnp,run-5,A9,adversarial-principal,simulated RuntimeClass forbidden in production,BLOCKED,DENIED,yes,EXECUTED,simulated_runtime_denied,article1/results/raw/aks/missing-attacks/A9-run-5.log
2026-07-05T22:37:22Z,aks-real-sevsnp,run-6,A2,adversarial-principal,expired evidence rejected,BLOCKED,PENDING,yes,EXECUTED,expired_evidence_blocked,article1/results/raw/aks/missing-attacks/A2-run-6.log
2026-07-05T22:38:25Z,aks-real-sevsnp,run-6,A3,adversarial-principal,revoked evidence rejected,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_blocked,article1/results/raw/aks/missing-attacks/A3-run-6.log
2026-07-05T22:39:29Z,aks-real-sevsnp,run-6,A6,adversarial-principal,policy modified between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,policy_hash_mismatch_prebind_blocked,article1/results/raw/aks/missing-attacks/A6-run-6.log
2026-07-05T22:40:37Z,aks-real-sevsnp,run-6,A7,adversarial-principal,evidence revoked between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_prebind_blocked,article1/results/raw/aks/missing-attacks/A7-run-6.log
2026-07-05T22:40:52Z,aks-real-sevsnp,run-6,A9,adversarial-principal,simulated RuntimeClass forbidden in production,BLOCKED,DENIED,yes,EXECUTED,simulated_runtime_denied,article1/results/raw/aks/missing-attacks/A9-run-6.log
2026-07-05T22:41:59Z,aks-real-sevsnp,run-7,A2,adversarial-principal,expired evidence rejected,BLOCKED,PENDING,yes,EXECUTED,expired_evidence_blocked,article1/results/raw/aks/missing-attacks/A2-run-7.log
2026-07-05T22:43:02Z,aks-real-sevsnp,run-7,A3,adversarial-principal,revoked evidence rejected,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_blocked,article1/results/raw/aks/missing-attacks/A3-run-7.log
